2.58,126161
2.581,126213
2.582,126184
2.583,126096
2.584,126083
2.585,126043
2.586,126126
2.587,126067
2.588,126096
2.589,126031
2.59,125998
2.591,125970
2.592,125964
2.593,125974
2.594,125923
2.595,125880
2.596,125895
2.597,126001
2.598,125881
2.599,125876
2.6,125851
2.601,125877
2.602,125875
2.603,125825
2.604,125779
2.605,125790
2.606,125763
2.607,125709
2.608,125785
2.609,125726
2.61,125671
2.611,125645
2.612,125655
2.613,125688
2.614,125661
2.615,125608
2.616,125600
2.617,125565
2.618,125564
2.619,125520
2.62,125580
2.621,125543
2.622,125551
2.623,125490
2.624,125475
2.625,125443
2.626,125410
2.627,125380
2.628,125363
2.629,125362
2.63,125300
2.631,125321
2.632,125269
2.633,125251
2.634,125277
2.635,125290
2.636,125237
2.637,125101
2.638,125159
2.639,125134
2.64,125081
2.641,125118
2.642,125099
2.643,125045
2.644,125064
2.645,125048
2.646,125039
2.647,125001
2.648,124971
2.649,124976
2.65,124977
2.651,124978
2.652,124957
2.653,124928
2.654,124884
2.655,124947
2.656,124936
2.657,124853
2.658,124956
2.659,124936
2.66,124726
2.661,124838
2.662,124760
2.663,124789
2.664,124830
2.665,124759
2.666,124745
2.667,124787
2.668,124756
2.669,124760
2.67,124749
2.671,124663
2.672,124667
2.673,124642
2.674,124692
2.675,124610
2.676,124630
2.677,124558
2.678,124588
2.679,124571
2.68,124535
2.681,124545
2.682,124536
2.683,124586
2.684,124499
2.685,124471
2.686,124427
2.687,124477
2.688,124406
2.689,124403
2.69,124378
2.691,124321
2.692,124385
2.693,124261
2.694,124244
2.695,124241
2.696,124258
2.697,124239
2.698,124211
2.699,124154
2.7,124162
2.701,124149
2.702,124105
2.703,124115
2.704,124056
2.705,124011
2.706,124047
2.707,124123
2.708,124008
2.709,124004
2.71,123976
2.711,123932
2.712,124032
2.713,123917
2.714,123904
2.715,123955
2.716,123927
2.717,123888
2.718,123910
2.719,123881
2.72,123881
2.721,123813
2.722,123782
2.723,123862
2.724,123785
2.725,123677
2.726,123713
2.727,123657
2.728,123759
2.729,123733
2.73,123664
2.731,123648
2.732,123634
2.733,123622
2.734,123611
2.735,123608
2.736,123630
2.737,123590
2.738,123573
2.739,123574
2.74,123571
2.741,123563
2.742,123565
2.743,123527
2.744,123582
2.745,123576
2.746,123515
2.747,123475
2.748,123521
2.749,123510
2.75,123506
2.751,123493
2.752,123432
2.753,123433
2.754,123414
2.755,123445
2.756,123425
2.757,123471
2.758,123459
2.759,123475
2.76,123416
2.761,123398
2.762,123466
2.763,123440
2.764,123403
2.765,123344
2.766,123352
2.767,123372
2.768,123326
2.769,123353
2.77,123426
2.771,123330
2.772,123324
2.773,123336
2.774,123297
2.775,123310
2.776,123278
2.777,123223
2.778,123174
2.779,123245
2.78,123231
2.781,123183
2.782,123183
2.783,123233
2.784,123186
2.785,123130
2.786,123244
2.787,123157
2.788,123154
2.789,123185
2.79,123192
2.791,123168
2.792,123175
2.793,123112
2.794,123058
2.795,123145
2.796,123114
2.797,123073
2.798,123044
2.799,123008
2.8,122981
2.801,123037
2.802,123036
2.803,123049
2.804,123004
2.805,122946
2.806,123009
2.807,122937
2.808,122922
2.809,122938
2.81,122914
2.811,122965
2.812,122918
2.813,122851
2.814,122833
2.815,122841
2.816,122862
2.817,122815
2.818,122788
2.819,122858
2.82,122746
2.821,122774
2.822,122743
2.823,122783
2.824,122793
2.825,122798
2.826,122760
2.827,122746
2.828,122722
2.829,122729
2.83,122724
2.831,122749
2.832,122683
2.833,122676
2.834,122677
2.835,122568
2.836,122539
2.837,122615
2.838,122582
2.839,122593
2.84,122604
2.841,122537
2.842,122549
2.843,122460
2.844,122527
2.845,122565
2.846,122601
2.847,122481
2.848,122488
2.849,122490
2.85,122537
2.851,122474
2.852,122507
2.853,122488
2.854,122441
2.855,122484
2.856,122462
2.857,122447
2.858,122412
2.859,122446
2.86,122354
2.861,122364
2.862,122349
2.863,122344
2.864,122354
2.865,122409
2.866,122263
2.867,122284
2.868,122378
2.869,122266
2.87,122218
2.871,122243
2.872,122191
2.873,122200
2.874,122175
2.875,122118
2.876,122171
2.877,122183
2.878,122176
2.879,122209
2.88,122152
2.881,122086
2.882,122106
2.883,122076
2.884,122049
2.885,122055
2.886,122027
2.887,121995
2.888,121965
2.889,121927
2.89,121963
2.891,121914
2.892,121897
2.893,121809
2.894,121832
2.895,121881
2.896,121890
2.897,121863
2.898,121855
2.899,121860
2.9,121869
2.901,121783
2.902,121766
2.903,121787
2.904,121792
2.905,121697
2.906,121628
2.907,121639
2.908,121677
2.909,121622
2.91,121598
2.911,121657
2.912,121575
2.913,121604
2.914,121539
2.915,121532
2.916,121493
2.917,121520
2.918,121483
2.919,121409
2.92,121439
2.921,121425
2.922,121431
2.923,121430
2.924,121412
2.925,121397
2.926,121392
2.927,121325
2.928,121310
2.929,121239
2.93,121262
2.931,121206
2.932,121162
2.933,121187
2.934,121186
2.935,121144
2.936,121177
2.937,121204
2.938,121168
2.939,121127
2.94,121137
2.941,121069
2.942,120986
2.943,121038
2.944,121024
2.945,121009
2.946,120962
2.947,121013
2.948,120991
2.949,120958
2.95,120928
2.951,120891
2.952,120875
2.953,120835
2.954,120807
2.955,120776
2.956,120758
